usages,parent,amount,key,subtotal,categories
1,10001,92.38,10001,,[u'']
1,10001,70.15,10002,,[u'other']
1,10002,4.49,10001,,[u'Energy Summer']
2,10002,9.7,10002,,[u'Energy Winter']
3,10002,5.51,10003,,[u'Fuel Cost']
1;2;3,10002,13.41,10004,,[u'other']
1;2;3,10002,-0.61,10005,,[u'other']
1,10003,177.67,10001,,[u'Energy Charge']
1,10003,162.01,10002,,[u'Fuel Cost Charge']
2,10003,170.62,10003,,"[u'Demand Charge', u'Winter']"
3,10003,14.56,10004,,[u'Lights']
1;2;3,10003,114.75,10005,,[u'other']
1;2;3,10003,0.0,10006,,[u'other']
1,20001,4.49,10001,,[u'Energy Summer']
2,20001,9.7,10002,,[u'Energy Winter']
3,20001,5.51,10003,,[u'Fuel Cost']
1;2;3,20001,33.11,10004,,[u'other']
1,30001,15.58,10001,,[u'Energy Summer']
2,30001,33.63,10002,,[u'Energy Winter']
3,30001,19.1,10003,,[u'Fuel Cost']
1;2;3,30001,-1.15,10004,,[u'other']
1;2;3,30001,17.84,10005,,[u'other']
1,40001,1.74,10001,,[u'Energy Charge Winter']
1,40001,0.7,10002,,[u'Fuel Cost Charge']
1,40001,15.28,10003,17.72,[u'other']
1,40002,39.84,10001,,[u'Energy Charge Winter']
1,40002,19.66,10002,,[u'Fuel Cost Charge']
1,40002,16.77,10003,76.27,[u'other']
1,40003,16.01,10001,,[u'Distribution Charge']
1,40003,53.54,10002,,[u'Cost of Gas']
1,40003,0.52,10003,,[u'Gas Affordability']
1,40003,63.65,10004,133.72,[u'other']
1,40004,3.82,10001,,[u'Distribution Charge']
1,40004,12.77,10002,,[u'Cost of Gas']
1,40004,0.12,10003,,[u'Gas Affordability']
1,40004,31.08,10004,47.79,[u'other']
1,40005,77.06,10001,,[u'Dumpster Service']
1,40005,47.46,10002,124.52,[u'other']
1,40006,75.2,10001,,[u'SCE Delivery Charge-Energy']
1,40006,79.58,10002,,[u'Wholesale Energy Cost']
1,40006,30.0,10003,184.78,[u'other']
1,40007,10.8,10001,,[u'Water Service Base Fee']
1,40007,44.96,10002,,[u'Water Usage Charge']
1,40007,5.58,10003,,[u'Water-Surcharge']
1,40008,24.0,10001,,[u'Water Service Base Fee']
1,40008,12.08,10002,,[u'Recovery Fee']
1,40008,100.38,10003,,[u'Water Usage Charge']
1,40008,148.26,10004,,[u'Sanitary Sewer']
1,40009,22.5,10001,,[u'Water Service Base Fee']
1,40009,11.25,10002,,[u'Recovery Fee']
1,40009,26.29,10003,,[u'Water Usage Charge']
1,40009,38.83,10004,,[u'Sanitary Sewer']
1,40010,0.26,10001,,[u'renewable adjustment']
1,40010,0.01,10002,,[u'transmission adjustment']
1,40010,16.96,10003,17.23,[u'other']
2,40010,547.84,10004,,[u'Energy Charge']
3,40010,287.14,10005,,[u'Demand Charge']
2,40010,3.42,10006,,[u'Transmission Adjustment']
2,40010,63.61,10007,,[u'Renewable Adjustment']
2;3,40010,186.09,10008,,[u'other']
1,40011,48.38,10001,,[u'Trash removal']
1,40011,15.0,10002,,[u'Dumpster Rent']
1,40011,14.74,10003,78.12,[u'other']
1,50001,5.67,10001,,[u'Distribution Charge']
1,50001,23.89,10002,,[u'Cost of Gas']
1,50001,0.18,10003,,[u'Gas Affordability']
1,50001,32.28,10004,62.02,[u'other']
1,50002,193.17,10001,,[u'Energy Charge']
1,50002,184.47,10002,,[u'Fuel Cost Charge']
2,50002,377.16,10003,,[u'Demand Charge Winter']
1;2,50002,163.17,10004,917.97,[u'other']
3,50002,204.31,10005,,[u'Distribution Charge']
3,50002,861.1,10006,,[u'Cost of Gas']
3,50002,6.64,10007,,[u'Gas Affordability']
3,50002,181.74,10008,,[u'other']
1,50003,321.95,10001,,[u'Energy Charge']
1,50003,362.27,10002,,[u'Fuel Cost Charge']
2,50003,377.16,10003,,[u'Demand Charge Winter']
1;2,50003,195.44,10004,1256.82,[u'other']
1,50004,38.52,10001,,[u'Energy Charge Winter']
1,50004,19.25,10002,,[u'Fuel Cost Charge']
1,50004,16.62,10003,74.39,[u'other']
1,50005,14.3,10001,,[u'Distribution Charge']
1,50005,53.98,10002,,[u'Cost of Gas']
1,50005,0.46,10003,,[u'Gas Affordability']
1,50005,37.55,10004,106.29,[u'other']
1,50006,88.91,10001,,[u'Distribution Charge']
1,50006,560.72,10002,,[u'Cost of Gas']
1,50006,2.88,10003,,[u'Gas Affordability']
1,50006,41.05,10004,693.56,[u'other']
2,50006,48.71,10005,,[u'Distribution Charge']
2,50006,307.19,10006,,[u'Cost of Gas']
2,50006,1.58,10007,,[u'Gas Affordability']
2,50006,33.79,10008,,[u'other']
3,50006,196.49,10009,,[u'Energy Charge Winter']
3,50006,100.72,10010,,[u'Fuel Cost Charge']
3,50006,48.72,10011,,[u'other']
4,50006,95.12,10012,,[u'Energy Charge Winter']
4,50006,48.75,10013,,[u'Fuel Cost Charge']
4,50006,23.97,10014,,[u'other']
5,50006,66.96,10015,,[u'Distribution Charge']
5,50006,422.3,10016,,[u'Cost of Gas']
5,50006,2.17,10017,,[u'Gas Affordability']
5,50006,37.09,10018,,[u'other']
6,50006,79.23,10019,,[u'Energy Charge']
6,50006,91.14,10020,,[u'Fuel Cost Charge']
7,50006,-12.7,10021,,[u'Energy Charge Credit']
8,50006,35.92,10022,,[u'Demand Charge Winter']
6;7;8,50006,47.65,10023,,[u'other']
9,50006,7.34,10024,,[u'Auto Protective Lgt']
9,50006,2.57,10025,,[u'other']
1,50007,83.26,10001,,[u'Energy Charge']
1,50007,86.48,10002,,[u'Fuel Cost Charge']
2,50007,182.1,10003,,[u'Demand Charge Summer']
1;2,50007,77.08,10004,428.92,[u'other']
1,50008,176.65,10001,,[u'Energy Charge']
2,50008,339.92,10002,,[u'Demand Charge Summer']
1,50008,187.57,10003,,[u'Fuel Cost Charge']
1;2,50008,167.9,10004,872.04,[u'other']
3,50008,11.67,10005,,[u'Auto Protective Lgt']
3,50008,3.62,10006,,[u'other']
1,50009,15.0,10001,,[u'Water Service Base Fee']
1,50009,7.55,10002,,[u'Recovery Fee']
1,50009,2.39,10003,,[u'Water Usage Charge']
1,50009,8.8,10004,,[u'Sanitary Sewer']
1,50010,7.55,10001,,[u'Recovery Fee']
1,50010,15.0,10002,,[u'Water Service Base Fee']
1,50010,4.68,10003,,[u'Water Usage Charge']
1,50010,8.8,10004,,[u'Sanitary Sewer']
1,60001,4.2,10001,,[u'Fuel Cost Charge']
1,60001,9.8,10002,,[u'Energy Charge Winter']
1,60001,12.87,10003,26.87,[u'other']
1,60002,713.41,10001,,[u'Energy Charge']
2,60002,1371.82,10002,,[u'Demand Charge Summer']
1,60002,807.66,10003,,[u'Fuel Cost Charge']
1;2,60002,403.71,10004,3296.6,[u'other']
1,60003,24.0,10001,,[u'Water Service Base Fee']
1,60003,12.08,10002,,[u'Recovery Fee']
1,60003,222.27,10003,,[u'Water Usage Charge']
1,60003,328.29,10004,,[u'Sanitary Sewer']
1,60003,6.36,10005,,[u'other']
1,60004,50.2,10001,,[u'Water Usage Charge']
1,60005,0.29,10001,,[u'Renewable Adjustment']
1,60005,0.02,10002,,[u'Transmission Adjustment']
1,60005,16.99,10003,17.3,[u'other']
2,60005,592.26,10004,,[u'Energy Charge']
3,60005,287.14,10005,,[u'Demand Charge']
2,60005,3.7,10006,,[u'Transmission Adjustment']
2,60005,68.77,10007,,[u'Renewable Adjustment']
2;3,60005,187.32,10008,,[u'other']
1,60006,9.7,2,,[u'Water Usage']
1,60006,105.2,3,,[u'Wastewater Usage']
1,60006,35.0,4,149.9,[u'other']
1,60007,5.25,10001,,[u'Water Usage']
1,60007,84.64,10002,,[u'Wastewater Usage']
1,60007,35.0,10003,124.89,[u'other']
1,60008,1696.12,10001,,[u'Energy Charge']
2,60008,2066.88,10002,,[u'Demand Charge']
1;2,60008,13.0,10003,3776.0,[u'other']
1,60009,105.0,10001,,[u'Dumpster Fee']
1,60010,17.06,10001,,[u'Water']
1,60010,0.53,10002,,[u'other']
2,60010,10.1,10003,,[u'Sewer']
2,60010,4.9,10004,,[u'other']
1,60011,50.5,10001,,[u'On-Call Dumpster']
1,60011,8.59,10002,59.09,[u'other']
1,70001,48.98,10001,,[u'Energy Charge']
1,70001,46.95,10002,,[u'Fuel Cost Charge']
2,70001,98.78,10003,,[u'Demand Charge Winter']
1;2,70001,48.6,10004,243.31,[u'other']
1,70002,53.33,10001,,[u'Toter Rel']
1,70002,23.98,10002,,[u'Toter Rel Rcy']
1,70002,42.88,10003,120.19,[u'other']
1,70004,7.55,10001,,[u'Recovery Fee']
1,70004,15.0,10002,,[u'Water Service Base Fee']
1,70004,2.44,10003,,[u'Water Usage Charge']
1,70004,8.8,10004,,[u'Sanitary Sewer']
1,70004,0.53,10005,,[u'other']
1,70005,158.37,10001,,[u'Basic Service']
1,70005,220.69,10002,379.06,[u'other']
1,70006,75.61,10001,,[u'service']
2,70006,12.85,10002,,[u'Fsc comm res']
1;2,70006,8.63,10003,97.09,[u'other']
1,70007,75.61,10001,,[u'service']
2,70007,12.85,10002,,[u'Fsc comm res']
1;2,70007,8.63,10003,97.09,[u'other']
1,70008,75.61,10001,,[u'service']
2,70008,12.85,10002,,[u'fsc comm res']
1;2,70008,8.63,10003,97.09,[u'other']
1,70009,11.11,10001,,[u'Water Usage']
1,70009,88.26,10002,,[u'Wastewater Usage']
1,70009,35.0,10003,134.37,[u'other']
1,70010,40.0,10001,,[u'Sewer']
1,70011,10.93,10001,,[u'Energy Charge']
1,70011,0.27,10002,,[u'Purchased Power Adjustment']
1,70011,12.5,10003,,[u'other']
1,80001,12.58,10001,,[u'Distribution Charge']
1,80001,60.82,10002,,[u'Cost of Gas']
1,80001,0.41,10003,,[u'Gas Affordability']
1,80001,36.59,10004,110.4,[u'other']
1,80002,52.57,10001,,[u'Energy Charge']
1,80002,52.86,10002,,[u'Fuel Cost Charge']
2,80002,108.42,10003,,[u'Demand Charge Winter']
1;2,80002,59.66,10004,273.51,[u'other']
1,80003,371.43,10001,,[u'Energy Charge']
1,80003,367.98,10002,,[u'Fuel Cost Charge']
2,80003,127.47,10003,,[u'Demand Charge Summer']
3,80003,204.33,10004,,[u'Demand Charge Winter']
1;2;3,80003,231.4,10005,1302.61,[u'other']
4,80003,44.95,10006,,[u'Distribution Charge']
4,80003,150.33,10007,,[u'Cost of Gas']
