invoice_key,fee_key,usage_key
10001,10001,1
10001,10002,1
10002,10001,1
10002,10002,2
10002,10003,3
10002,10004,1
10002,10004,2
10002,10004,3
10002,10005,1
10002,10005,2
10002,10005,3
10003,10001,1
10003,10002,1
10003,10003,2
10003,10004,3
10003,10005,1
10003,10005,2
10003,10005,3
10003,10006,1
10003,10006,2
10003,10006,3
20001,10001,1
20001,10002,2
20001,10003,3
20001,10004,1
20001,10004,2
20001,10004,3
30001,10001,1
30001,10002,2
30001,10003,3
30001,10004,1
30001,10004,2
30001,10004,3
30001,10005,1
30001,10005,2
30001,10005,3
40001,10001,1
40001,10002,1
40001,10003,1
40002,10001,1
40002,10002,1
40002,10003,1
40003,10001,1
40003,10002,1
40003,10003,1
40003,10004,1
40004,10001,1
40004,10002,1
40004,10003,1
40004,10004,1
40005,10001,1
40005,10002,1
40006,10001,1
40006,10002,1
40006,10003,1
40007,10001,1
40007,10002,1
40007,10003,1
40008,10001,1
40008,10002,1
40008,10003,1
40008,10004,1
40009,10001,1
40009,10002,1
40009,10003,1
40009,10004,1
40010,10001,1
40010,10002,1
40010,10003,1
40010,10004,2
40010,10005,3
40010,10006,2
40010,10007,2
40010,10008,2
40010,10008,3
40011,10001,1
40011,10002,1
40011,10003,1
50001,10001,1
50001,10002,1
50001,10003,1
50001,10004,1
50002,10001,1
50002,10002,1
50002,10003,2
50002,10004,1
50002,10004,2
50002,10005,3
50002,10006,3
50002,10007,3
50002,10008,3
50003,10001,1
50003,10002,1
50003,10003,2
50003,10004,1
50003,10004,2
50004,10001,1
50004,10002,1
50004,10003,1
50005,10001,1
50005,10002,1
50005,10003,1
50005,10004,1
50006,10001,1
50006,10002,1
50006,10003,1
50006,10004,1
50006,10005,2
50006,10006,2
50006,10007,2
50006,10008,2
50006,10009,3
50006,10010,3
50006,10011,3
50006,10012,4
50006,10013,4
50006,10014,4
50006,10015,5
50006,10016,5
50006,10017,5
50006,10018,5
50006,10019,6
50006,10020,6
50006,10021,7
50006,10022,8
50006,10023,6
50006,10023,7
50006,10023,8
50006,10024,9
50006,10025,9
50007,10001,1
50007,10002,1
50007,10003,2
50007,10004,1
50007,10004,2
50008,10001,1
50008,10002,2
50008,10003,1
50008,10004,1
50008,10004,2
50008,10005,3
50008,10006,3
50009,10001,1
50009,10002,1
50009,10003,1
50009,10004,1
50010,10001,1
50010,10002,1
50010,10003,1
50010,10004,1
60001,10001,1
60001,10002,1
60001,10003,1
60002,10001,1
60002,10002,2
60002,10003,1
60002,10004,1
60002,10004,2
60003,10001,1
60003,10002,1
60003,10003,1
60003,10004,1
60003,10005,1
60004,10001,1
60005,10001,1
60005,10002,1
60005,10003,1
60005,10004,2
60005,10005,3
60005,10006,2
60005,10007,2
60005,10008,2
60005,10008,3
60006,2,1
60006,3,1
60006,4,1
60007,10001,1
60007,10002,1
60007,10003,1
60008,10001,1
60008,10002,2
60008,10003,1
60008,10003,2
60009,10001,1
60010,10001,1
60010,10002,1
60010,10003,2
60010,10004,2
60011,10001,1
60011,10002,1
70001,10001,1
70001,10002,1
70001,10003,2
70001,10004,1
70001,10004,2
70002,10001,1
70002,10002,1
70002,10003,1
70004,10001,1
70004,10002,1
70004,10003,1
70004,10004,1
70004,10005,1
70005,10001,1
70005,10002,1
70006,10001,1
70006,10002,2
70006,10003,1
70006,10003,2
70007,10001,1
70007,10002,2
70007,10003,1
70007,10003,2
70008,10001,1
70008,10002,2
70008,10003,1
70008,10003,2
70009,10001,1
70009,10002,1
70009,10003,1
70010,10001,1
70011,10001,1
70011,10002,1
70011,10003,1
80001,10001,1
80001,10002,1
80001,10003,1
80001,10004,1
80002,10001,1
80002,10002,1
80002,10003,2
80002,10004,1
80002,10004,2
80003,10001,1
80003,10002,1
80003,10003,2
80003,10004,3
80003,10005,1
80003,10005,2
80003,10005,3
80003,10006,4
80003,10007,4
80003,10008,4
80003,10009,4
80004,10001,1
80005,10001,1
80005,10002,1
80005,10003,1
80006,10001,1
80006,10002,1
80006,10003,1
80006,10004,1
80007,10001,1
80007,10002,1
80007,10003,2
80007,10004,2
80007,10005,1
80007,10005,2
80008,10001,1
80008,10002,1
80008,10003,1
80008,10004,2
80008,10005,2
80008,10006,2
80008,10007,3
80008,10008,2
80008,10008,3
80009,10001,1
80009,10002,1
80009,10003,1
80010,10001,1
80010,10002,1
80010,10003,1
90001,10001,1
90001,10002,1
90001,10003,2
90001,10004,1
90001,10004,2
90002,10001,1
90002,10002,1
90002,10003,2
90002,10004,3
90002,10005,1
90002,10005,2
90002,10005,3
90003,10001,1
90003,10002,2
90003,10003,1
90003,10004,1
90003,10004,2
90004,10001,1
90004,10002,1
90004,10003,1
90005,10001,1
90005,10002,2
90005,10003,3
90005,10004,1
90005,10005,1
90005,10005,2
90005,10005,3
90005,10006,4
90005,10007,4
90006,10001,1
90006,10002,1
90007,10001,1
90007,10002,1
90008,10001,1
90008,10002,1
90008,10003,1
100001,10001,1
