end,parent,service,meter,start,key,unit,quantity
,10001,Trash,,2013-06-30T00:00:00,1,yd,2.0
2014-06-09T00:00:00,10002,Electricity,95507854,2014-05-08T00:00:00,1,kWh,54.56
2014-06-09T00:00:00,10002,Electricity,95507854,2014-05-08T00:00:00,2,kWh,139.44
2014-06-09T00:00:00,10002,Electricity,95507854,2014-05-08T00:00:00,3,kWh,194.0
2014-05-25T00:00:00,10003,Electricity,3625839,2014-04-23T00:00:00,1,kWh,5960.0
2014-05-25T00:00:00,10003,Electricity,3625839,2014-04-23T00:00:00,2,kW,19.0
2014-05-25T00:00:00,10003,Electricity,HPS Lights,2014-04-23T00:00:00,3,kwh,88.0
2014-06-09T00:00:00,20001,Electricity,95507854,2014-05-08T00:00:00,1,kWh,54.56
2014-06-09T00:00:00,20001,Electricity,95507854,2014-05-08T00:00:00,2,kWh,139.44
2014-06-09T00:00:00,20001,Electricity,95507854,2014-05-08T00:00:00,3,kWh,194.0
2014-06-09T00:00:00,30001,Electricity,97352019,2014-05-08T00:00:00,1,kWh,189.28
2014-06-09T00:00:00,30001,Electricity,97352019,2014-05-08T00:00:00,2,kWh,483.72
2014-06-09T00:00:00,30001,Electricity,97352019,2014-05-08T00:00:00,3,kWh,673.0
2014-05-22T00:00:00,40001,Electricity,88642678,2014-04-23T00:00:00,1,kwh,25.0
2014-04-09T00:00:00,40002,Electricity,97352019,2014-03-11T00:00:00,1,kwh,573.0
2013-10-21T00:00:00,40003,Natural Gas,682469,2013-09-22T00:00:00,1,therm,130.0
2013-10-21T00:00:00,40004,Natural Gas,898494,2013-09-22T00:00:00,1,therm,31.0
2014-05-31T00:00:00,40005,Trash,,2014-05-01T00:00:00,1,yd,2.0
2014-05-01T00:00:00,40006,Electricity,4557,2014-04-01T00:00:00,1,kwh,1600.0
2014-03-25T00:00:00,40007,Water,,2013-12-24T00:00:00,1,100cu.ft.,16.0
2013-07-30T00:00:00,40008,Water,,2013-07-02T00:00:00,1,100cu.ft.,42.0
2013-07-08T00:00:00,40009,Water,,2013-04-08T00:00:00,1,100cu.ft.,11.0
2014-06-17T00:00:00,40010,Electricity,,2014-05-15T00:00:00,1,kwh,42.0
2014-06-14T00:00:00,40010,Electricity,300455,2014-05-11T00:00:00,2,kwh,10360.0
2014-06-14T00:00:00,40010,Electricity,300455,2014-05-11T00:00:00,3,kw,49.0
2014-04-30T00:00:00,40011,Trash,,2014-04-01T00:00:00,1,yd,4.5
2014-05-22T00:00:00,50001,Natural Gas,898494,2014-04-23T00:00:00,1,therms,46.0
2014-05-10T00:00:00,50002,Electricity,2819661,2014-04-12T00:00:00,1,kwh,6480.0
2014-05-10T00:00:00,50002,Electricity,2819661,2014-04-12T00:00:00,2,kw,42.0
2014-05-11T00:00:00,50002,Natural Gas,614336,2014-04-10T00:00:00,3,therm,1659.0
2014-03-12T00:00:00,50003,Electricity,2819661,2014-02-10T00:00:00,1,kwh,10800.0
2014-03-12T00:00:00,50003,Electricity,2819661,2014-02-10T00:00:00,2,kw,42.0
2014-03-11T00:00:00,50004,Electricity,97352019,2014-02-09T00:00:00,1,kwh,554.0
2013-11-19T00:00:00,50005,Natural Gas,898494,2013-10-21T00:00:00,1,therm,116.0
2014-03-24T00:00:00,50006,Natural Gas,448033,2014-02-23T00:00:00,1,therm,721.0
2014-03-24T00:00:00,50006,Natural Gas,992980,2014-02-23T00:00:00,2,therm,395.0
2014-03-24T00:00:00,50006,Electricity,90347176,2014-02-23T00:00:00,3,kwh,2826.0
2014-03-24T00:00:00,50006,Electricity,98039604,2014-02-23T00:00:00,4,kwh,1368.0
2014-03-24T00:00:00,50006,Natural Gas,497267,2014-02-23T00:00:00,5,therm,543.0
2014-03-24T00:00:00,50006,Electricity,3470041,2014-02-23T00:00:00,6,kwh,2658.0
2014-03-24T00:00:00,50006,Electricity,3470041,2014-02-23T00:00:00,7,kwh,1058.0
2014-03-24T00:00:00,50006,Electricity,3470041,2014-02-23T00:00:00,8,kw,4.0
2014-03-24T00:00:00,50006,Electricity,N/A,2014-02-23T00:00:00,9,kwh,71.0
2013-09-07T00:00:00,50007,Electricity,3626054,2013-08-07T00:00:00,1,kwh,2941.0
2013-09-07T00:00:00,50007,Electricity,3626054,2013-08-07T00:00:00,2,kw,15.0
2013-08-21T00:00:00,50008,Electricity,3625839,2013-07-23T00:00:00,1,kwh,6240.0
